vendor,productName,model,description,productURL,cost
troemner,Weight Set OIML 10kg-1g CLE1 Accrd TR,30390908,10kg-1g Certified Calibration Weight Set OIML Class E1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1g-CLE1-Accrd-TR/p/30390908,"$20,980.00"
troemner,Weight Set OIML 10kg-1g CLE2 Accrd TR,80780403,10kg-1g Certified Calibration Weight Set OIML Class E2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1g-CLE2-Accrd-TR/p/80780403,"$11,720.00"
troemner,Weight Set OIML 10kg-1g CLF1 Accrd TR,80780457,10kg-1g Certified Calibration Weight Set OIML Class F1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1g-CLF1-Accrd-TR/p/80780457,"$11,200.00"
troemner,Weight Set OIML 10kg-1g CLF1 No Cert TR,80780430,10kg-1g Calibration Weight Set OIML Class F1 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1g-CLF1-No-Cert-TR/p/80780430,"$9,530.00"
troemner,Weight Set OIML 10kg-1g CLF2 Accrd TR,30390834,10kg-1g Certified Calibration Weight Set OIML Class F2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1g-CLF2-Accrd-TR/p/30390834,"$10,160.00"
troemner,Weight Set OIML 10kg-1g CLF2 No Cert TR,30390811,10kg-1g Calibration Weight Set OIML Class F2 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1g-CLF2-No-Cert-TR/p/30390811,"$8,485.00"
troemner,Weight Set OIML 10kg-1mg CLE1 Accrd TR,30390909,10kg-1mg Certified Calibration Weight Set OIML Class E1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1mg-CLE1-Accrd-TR/p/30390909,"$21,680.00"
troemner,Weight Set OIML 10kg-1mg CLE2 Accrd TR,80780402,10kg-1mg Certified Calibration Weight Set OIML Class E2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1mg-CLE2-Accrd-TR/p/80780402,"$12,070.00"
troemner,Weight Set OIML 10kg-1mg CLF1 Accrd TR,80780456,10kg-1mg Certified Calibration Weight Set OIML Class F1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1mg-CLF1-Accrd-TR/p/80780456,"$11,990.00"
troemner,Weight Set OIML 10kg-1mg CLF1 No Cert TR,80780429,10kg-1mg Calibration Weight Set OIML Class F1 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1mg-CLF1-No-Cert-TR/p/80780429,"$9,860.00"
troemner,Weight Set OIML 10kg-1mg CLF2 Accrd TR,30390835,10kg-1mg Certified Calibration Weight Set OIML Class F2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1mg-CLF2-Accrd-TR/p/30390835,"$10,890.00"
troemner,Weight Set OIML 10kg-1mg CLF2 No Cert TR,30390812,10kg-1mg Calibration Weight Set OIML Class F2 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1mg-CLF2-No-Cert-TR/p/30390812,"$8,765.00"
troemner,Weight Set OIML 1kg-1g CLE1 Accrd TR,30390915,1kg-1g Certified Calibration Weight Set OIML Class E1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1g-CLE1-Accrd-TR/p/30390915,"$8,220.00"
troemner,Weight Set OIML 1kg-1g CLE2 Accrd TR,80780394,1kg-1g Certified Calibration Weight Set OIML Class E2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1g-CLE2-Accrd-TR/p/80780394,"$5,065.00"
troemner,Weight Set OIML 1kg-1g CLF1 Accrd TR,80780448,1kg-1g Certified Calibration Weight Set OIML Class F1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1g-CLF1-Accrd-TR/p/80780448,"$4,760.00"
troemner,Weight Set OIML 1kg-1g CLF1 No Cert TR,80780421,1kg-1g Calibration Weight Set OIML Class F1 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1g-CLF1-No-Cert-TR/p/80780421,"$3,450.00"
troemner,Weight Set OIML 1kg-1g CLF2 Accrd TR,30390841,1kg-1g Certified Calibration Weight Set OIML Class F2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1g-CLF2-Accrd-TR/p/30390841,"$4,455.00"
troemner,Weight Set OIML 1kg-1g CLF2 No Cert TR,30390818,1kg-1g Calibration Weight Set OIML Class F2 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1g-CLF2-No-Cert-TR/p/30390818,"$3,420.00"
troemner,Weight Set OIML 1kg-1mg CLE1 Accrd TR,30390916,1kg-1mg Certified Calibration Weight Set OIML Class E1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1mg-CLE1-Accrd-TR/p/30390916,"$10,320.00"
troemner,Weight Set OIML 1kg-1mg CLE2 Accrd TR,80780393,1kg-1mg Certified Calibration Weight Set OIML Class E2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1mg-CLE2-Accrd-TR/p/80780393,"$6,605.00"
troemner,Weight Set OIML 1kg-1mg CLF1 Accrd TR,80780447,1kg-1mg Certified Calibration Weight Set OIML Class F1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1mg-CLF1-Accrd-TR/p/80780447,"$5,955.00"
troemner,Weight Set OIML 1kg-1mg CLF1 No Cert TR,80780420,1kg-1mg Calibration Weight Set OIML Class F1 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1mg-CLF1-No-Cert-TR/p/80780420,"$3,720.00"
troemner,Weight Set OIML 1kg-1mg CLF2 Accrd TR,30390842,1kg-1mg Certified Calibration Weight Set OIML Class F2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1mg-CLF2-Accrd-TR/p/30390842,"$5,305.00"
troemner,Weight Set OIML 1kg-1mg CLF2 No Cert TR,30390819,1kg-1mg Calibration Weight Set OIML Class F2 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1mg-CLF2-No-Cert-TR/p/30390819,"$3,590.00"
troemner,Weight Set OIML 200g-1g CLE1 Accrd TR,30390919,200g-1g Certified Calibration Weight Set OIML Class E1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-200g-1g-CLE1-Accrd-TR/p/30390919,"$5,950.00"
troemner,Weight Set OIML 200g-1g CLE2 Accrd TR,80780390,200g-1g Certified Calibration Weight Set OIML Class E2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-200g-1g-CLE2-Accrd-TR/p/80780390,"$2,275.00"
troemner,Weight Set OIML 200g-1g CLF1 Accrd TR,80780444,200g-1g Certified Calibration Weight Set OIML Class F1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-200g-1g-CLF1-Accrd-TR/p/80780444,"$2,140.00"
troemner,Weight Set OIML 200g-1g CLF1 No Cert TR,80780417,200g-1g Calibration Weight Set OIML Class F1 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-200g-1g-CLF1-No-Cert-TR/p/80780417,"$1,375.00"
troemner,Weight Set OIML 200g-1g CLF2 Accrd TR,30390845,200g-1g Certified Calibration Weight Set OIML Class F2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-200g-1g-CLF2-Accrd-TR/p/30390845,"$1,965.00"
troemner,Weight Set OIML 200g-1g CLF2 No Cert TR,30390822,200g-1g Calibration Weight Set OIML Class F2 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-200g-1g-CLF2-No-Cert-TR/p/30390822,"$1,345.00"
troemner,Weight Set OIML 200g-1mg CLE1 Accrd TR,30390920,200g-1mg Certified Calibration Weight Set OIML Class E1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-200g-1mg-CLE1-Accrd-TR/p/30390920,"$7,575.00"
troemner,Weight Set OIML 200g-1mg CLE2 Accrd TR,80780389,200g-1mg Certified Calibration Weight Set OIML Class E2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-200g-1mg-CLE2-Accrd-TR/p/80780389,"$3,990.00"
troemner,Weight Set OIML 200g-1mg CLF1 Accrd TR,80780443,200g-1mg Certified Calibration Weight Set OIML Class F1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-200g-1mg-CLF1-Accrd-TR/p/80780443,"$3,715.00"
troemner,Weight Set OIML 200g-1mg CLF1 No Cert TR,80780416,200g-1mg Calibration Weight Set OIML Class F1 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-200g-1mg-CLF1-No-Cert-TR/p/80780416,"$2,160.00"
troemner,Weight Set OIML 200g-1mg CLF2 Accrd TR,30390846,200g-1mg Certified Calibration Weight Set OIML Class F2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-200g-1mg-CLF2-Accrd-TR/p/30390846,"$3,440.00"
troemner,Weight Set OIML 200g-1mg CLF2 No Cert TR,30390823,200g-1mg Calibration Weight Set OIML Class F2 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-200g-1mg-CLF2-No-Cert-TR/p/30390823,"$2,125.00"
troemner,Weight Set OIML 20kg-1g CLE1 Accrd TR,30390906,20kg-1g Certified Calibration Weight Set OIML Class E1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-20kg-1g-CLE1-Accrd-TR/p/30390906,"$26,230.00"
troemner,Weight Set OIML 20kg-1g CLE2 Accrd TR,80780405,20kg-1g Certified Calibration Weight Set OIML Class E2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-20kg-1g-CLE2-Accrd-TR/p/80780405,"$15,580.00"
troemner,Weight Set OIML 20kg-1g CLF1 Accrd TR,80780459,20kg-1g Certified Calibration Weight Set OIML Class F1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-20kg-1g-CLF1-Accrd-TR/p/80780459,"$14,330.00"
troemner,Weight Set OIML 20kg-1g CLF1 No Cert TR,80780432,20kg-1g Calibration Weight Set OIML Class F1 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-20kg-1g-CLF1-No-Cert-TR/p/80780432,"$12,520.00"
